fips,county_name,Biden,Sanders,Warren,Bloomberg,Gabbard,Buttigieg,Klobuchar,Yang,Booker,Steyer,Bennet,Williamson,Castro,Patrick,Others,total_votes
51001,Accomack County,2026,598,173,374,41,38,25,3,8,3,9,3,2,0,0,3303
51003,Albemarle County,12343,6321,4740,2752,156,233,214,38,8,19,10,5,6,3,0,26848
51510,Alexandria City,20806,7603,7637,4248,246,583,343,65,36,22,31,17,15,11,2,41665
51005,Alleghany County,586,234,96,103,18,13,19,5,1,5,4,0,2,4,0,1090
51007,Amelia County,765,171,46,103,6,14,4,2,8,5,4,2,0,2,0,1132
51009,Amherst County,1521,431,195,161,25,14,15,9,3,4,7,4,0,2,0,2391
51011,Appomattox County,667,220,57,71,24,11,8,2,4,1,4,3,0,3,1,1076
51013,Arlington County,34003,13284,14076,6689,383,1109,612,154,47,31,40,27,27,11,1,70494
51015,Augusta County,3072,1511,622,517,98,66,70,22,21,11,8,8,10,4,0,6040
51017,Bath County,188,68,33,41,10,6,7,1,1,2,2,0,0,1,0,360
51019,Bedford County,3565,1361,558,718,122,54,54,31,7,16,10,7,3,8,0,6514
51021,Bland County,139,82,43,24,8,2,4,1,2,1,1,0,0,1,0,308
51023,Botetourt County,1673,693,286,318,48,28,25,10,4,7,4,5,3,3,0,3107
51520,Bristol City,512,325,94,74,7,8,7,3,1,2,2,3,1,2,0,1041
51025,Brunswick County,1366,243,50,173,10,3,4,5,0,3,3,2,2,1,0,1865
51027,Buchanan County,403,143,35,65,2,2,6,2,6,4,2,2,0,0,0,672
51029,Buckingham County,945,284,78,130,15,8,10,5,8,4,5,2,1,2,0,1497
51530,Buena Vista City,190,87,51,36,7,3,3,1,3,0,0,0,0,0,0,381
51031,Campbell County,2165,646,228,319,54,26,20,10,9,10,4,2,1,0,0,3494
51033,Caroline County,2537,744,222,323,34,26,16,11,13,6,8,8,2,2,0,3952
51035,Carroll County,770,425,107,157,31,12,23,12,8,5,5,2,3,4,1,1565
51036,Charles City County,860,169,46,102,8,6,5,3,3,2,3,0,1,0,0,1208
51037,Charlotte County,702,127,43,86,6,2,3,0,1,3,2,0,2,0,0,977
51540,Charlottesville City,4418,4681,3451,875,55,115,85,29,7,2,3,4,3,2,1,13731
51550,Chesapeake City,22063,6917,2165,2818,337,209,163,88,97,50,54,23,22,14,4,35024
51041,Chesterfield County,33400,13422,5587,4811,515,310,246,128,77,122,45,28,27,13,14,58745
51043,Clarke County,1209,526,249,275,28,31,19,6,1,5,1,1,0,1,0,2352
51570,Colonial Heights City,716,402,123,130,27,10,12,7,10,5,2,1,2,1,0,1448
51580,Covington City,241,86,27,29,6,3,3,2,1,0,0,1,0,0,0,399
51045,Craig County,166,95,40,33,10,2,4,2,2,2,0,0,0,1,0,357
51047,Culpeper County,2642,1203,409,543,47,41,36,12,10,9,5,3,6,3,1,4970
51049,Cumberland County,696,164,57,62,6,6,6,4,4,3,2,0,0,0,0,1010
