"Name","Year","College_Completion_Rate"
"United States","1970_Total",0.106618146881093
"Alabama","1970_Total",0.0784697904354162
"Alaska","1970_Total",0.141402614340338
"Arizona","1970_Total",0.125603748674565
"Arkansas","1970_Total",0.0665505450529167
"California","1970_Total",0.134449088418031
"Colorado","1970_Total",0.149259774015062
"Connecticut","1970_Total",0.136629848872626
"Delaware","1970_Total",0.130934776179126
"District of Columbia","1970_Total",0.177834350941139
"Florida","1970_Total",0.102640174944763
"Georgia","1970_Total",0.0921114181534164
"Hawaii","1970_Total",0.139659549478619
"Idaho","1970_Total",0.099611831547903
"Illinois","1970_Total",0.103102509833597
"Indiana","1970_Total",0.0832634846749252
"Iowa","1970_Total",0.0909516366478254
"Kansas","1970_Total",0.113768650264114
"Kentucky","1970_Total",0.0721082963967739
"Louisiana","1970_Total",0.0904971175426015
"Maine","1970_Total",0.083635322401608
"Maryland","1970_Total",0.139366708778521
"Massachusetts","1970_Total",0.125528924286459
"Michigan","1970_Total",0.0942254162131314
"Minnesota","1970_Total",0.111000634556341
"Mississippi","1970_Total",0.0805575518376239
"Missouri","1970_Total",0.0897155916025914
"Montana","1970_Total",0.110110066171387
"Nebraska","1970_Total",0.0964961230290459
"Nevada","1970_Total",0.107858115576278
"New Hampshire","1970_Total",0.108511595977681
"New Jersey","1970_Total",0.118356576901972
"New Mexico","1970_Total",0.127342874007144
"New York","1970_Total",0.118877809830634
"North Carolina","1970_Total",0.0845060522878978
"North Dakota","1970_Total",0.0838791351358143
"Ohio","1970_Total",0.0926590573822473
"Oklahoma","1970_Total",0.100201817978601
"Oregon","1970_Total",0.117793402213103
"Pennsylvania","1970_Total",0.0874881052709308
"Rhode Island","1970_Total",0.0938765307719021
"South Carolina","1970_Total",0.0896679251337981
"South Dakota","1970_Total",0.085960680635313
"Tennessee","1970_Total",0.0789409129742954
"Texas","1970_Total",0.108726000940322
"Utah","1970_Total",0.139798552617415
"Vermont","1970_Total",0.114875581900165
"Virginia","1970_Total",0.123030626119648
"Washington","1970_Total",0.127221384882315
"West Virginia","1970_Total",0.0677094723117359
"Wisconsin","1970_Total",0.0975806465458778
"Wyoming","1970_Total",0.117808811891898
"Puerto Rico","1970_Total",NA
"United States","1980_Total",0.162295747370863
"Alabama","1980_Total",0.121797308907395
"Alaska","1980_Total",0.212102368315763
"Arizona","1980_Total",0.174136613785056
"Arkansas","1980_Total",0.10820062253294
"California","1980_Total",0.196017355756407
"Colorado","1980_Total",0.229590159451551
"Connecticut","1980_Total",0.206594799185754
"Delaware","1980_Total",0.174683816083817
"District of Columbia","1980_Total",0.274619782116277
"Florida","1980_Total",0.148818463630727
"Georgia","1980_Total",0.14592867087902
"Hawaii","1980_Total",0.203457582796453
"Idaho","1980_Total",0.158278654263023
"Illinois","1980_Total",0.162048817751921
"Indiana","1980_Total",0.125197240105467
"Iowa","1980_Total",0.139435751501969
"Kansas","1980_Total",0.170323938730727
"Kentucky","1980_Total",0.110768144028922
"Louisiana","1980_Total",0.1390425780447
"Maine","1980_Total",0.143968330714372
"Maryland","1980_Total",0.203552004404793
"Massachusetts","1980_Total",0.200282624212591
"Michigan","1980_Total",0.142592557346347
"Minnesota","1980_Total",0.173628693512089
"Mississippi","1980_Total",0.122888567852422
"Missouri","1980_Total",0.138938949982458
"Montana","1980_Total",0.174600004881372
"Nebraska","1980_Total",0.155173529002262
"Nevada","1980_Total",0.144384603034606
"New Hampshire","1980_Total",0.182089590794774
"New Jersey","1980_Total",0.1833913637507
"New Mexico","1980_Total",0.175840383965427
"New York","1980_Total",0.179418416843485
"North Carolina","1980_Total",0.132352046694615
"North Dakota","1980_Total",0.148222303284961
"Ohio","1980_Total",0.136523913296746
"Oklahoma","1980_Total",0.150733347610214
"Oregon","1980_Total",0.178521762633075
"Pennsylvania","1980_Total",0.135550127868619
"Rhode Island","1980_Total",0.154313916032007
"South Carolina","1980_Total",0.134233148800188
"South Dakota","1980_Total",0.140064770725478
"Tennessee","1980_Total",0.125980961691607
"Texas","1980_Total",0.168800833719256
"Utah","1980_Total",0.198785453823125
"Vermont","1980_Total",0.190421316992656
"Virginia","1980_Total",0.19098296619835
"Washington","1980_Total",0.189519872986045
"West Virginia","1980_Total",0.10417055347581
"Wisconsin","1980_Total",0.148250823911395
"Wyoming","1980_Total",0.171535063825451
"Puerto Rico","1980_Total",NA
"United States","1990_Total",0.20337997784755
"Alabama","1990_Total",0.156807879436081
"Alaska","1990_Total",0.230932058084508
"Arizona","1990_Total",0.202884436964214
"Arkansas","1990_Total",0.133211242188283
"California","1990_Total",0.233568197350603
"Colorado","1990_Total",0.269689882452996
"Connecticut","1990_Total",0.27180675618462
"Delaware","1990_Total",0.214054175155601
"District of Columbia","1990_Total",0.333108466481396
"Florida","1990_Total",0.182780948891705
"Georgia","1990_Total",0.19315855665081
"Hawaii","1990_Total",0.228824208954383
"Idaho","1990_Total",0.176511578401176
"Illinois","1990_Total",0.210448413955165
"Indiana","1990_Total",0.155594116011887
"Iowa","1990_Total",0.168500865039245
"Kansas","1990_Total",0.210977332406944
"Kentucky","1990_Total",0.136310952840242
"Louisiana","1990_Total",0.161262896167669
"Maine","1990_Total",0.187719406294266
"Maryland","1990_Total",0.264570166828654
"Massachusetts","1990_Total",0.272321623492671
"Michigan","1990_Total",0.173559667013656
"Minnesota","1990_Total",0.21821709819163
"Mississippi","1990_Total",0.147464225076462
"Missouri","1990_Total",0.177957448385714
"Montana","1990_Total",0.197944173681879
"Nebraska","1990_Total",0.189410360333678
"Nevada","1990_Total",0.152778868291546
"New Hampshire","1990_Total",0.243651018218391
"New Jersey","1990_Total",0.248540280703561
"New Mexico","1990_Total",0.204138349646105
"New York","1990_Total",0.231316414026097
"North Carolina","1990_Total",0.173751038557948
"North Dakota","1990_Total",0.180655655024587
"Ohio","1990_Total",0.169729394388025
"Oklahoma","1990_Total",0.177891515788123
"Oregon","1990_Total",0.205981128282299
"Pennsylvania","1990_Total",0.179443439877291
"Rhode Island","1990_Total",0.212700089232058
"South Carolina","1990_Total",0.166467366983609
"South Dakota","1990_Total",0.171639953542393
"Tennessee","1990_Total",0.159598746888406
"Texas","1990_Total",0.203179638828177
"Utah","1990_Total",0.222610414779104
"Vermont","1990_Total",0.24312166720318
"Virginia","1990_Total",0.244885128390362
"Washington","1990_Total",0.229328074872297
"West Virginia","1990_Total",0.123333498326458
"Wisconsin","1990_Total",0.177417551271303
"Wyoming","1990_Total",0.187907937890837
"Puerto Rico","1990_Total",NA
"United States","2000_Total",0.244016272747538
"Alabama","2000_Total",0.190347025005195
"Alaska","2000_Total",0.247149300761943
"Arizona","2000_Total",0.235309798217791
"Arkansas","2000_Total",0.166605822550832
"California","2000_Total",0.266209334754377
"Colorado","2000_Total",0.326926650704883
"Connecticut","2000_Total",0.314074168295495
"Delaware","2000_Total",0.250490617069977
"District of Columbia","2000_Total",0.390697855851873
"Florida","2000_Total",0.223347599854689
"Georgia","2000_Total",0.242997783440498
"Hawaii","2000_Total",0.261740834939818
"Idaho","2000_Total",0.216652592681951
"Illinois","2000_Total",0.260613837716655
"Indiana","2000_Total",0.19408143985608
"Iowa","2000_Total",0.212088892827303
"Kansas","2000_Total",0.258039145148121
"Kentucky","2000_Total",0.171353353257278
"Louisiana","2000_Total",0.18727580357619
"Maine","2000_Total",0.228717784831008
"Maryland","2000_Total",0.314498676191035
"Massachusetts","2000_Total",0.331898836372571
"Michigan","2000_Total",0.217623416424808
"Minnesota","2000_Total",0.274332286776568
"Mississippi","2000_Total",0.169040185671035
