"STATION","NAME","DATE","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-01",29,19
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-02",27,21
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-03",35,27
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-04",37,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-05",43,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-06",38,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-07",48,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-08",54,40
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-09",48,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-10",44,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-11",33,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-12",37,29
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-13",38,28
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-14",42,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-15",42,39
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-16",38,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-17",35,29
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-18",29,26
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-19",34,27
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-20",37,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-21",42,29
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-22",29,17
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-23",39,20
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-24",48,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-25",38,22
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-26",31,18
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-27",40,23
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-28",47,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-29",48,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-30",54,41
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-01-31",41,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-01",33,25
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-02",34,22
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-03",36,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-04",38,21
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-05",26,22
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-06",40,26
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-07",36,23
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-08",40,25
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-09",38,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-10",39,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-11",46,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-12",48,36
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-13",61,40
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-14",42,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-15",43,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-16",44,36
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-17",46,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-18",41,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-19",42,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-20",39,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-21",40,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-22",50,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-23",44,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-24",38,27
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-25",38,26
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-26",34,31
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-27",31,22
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-02-28",25,17
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-01",26,4
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-02",36,19
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-03",43,28
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-04",44,19
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-05",35,11
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-06",36,20
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-07",26,20
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-08",38,26
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-09",46,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-10",47,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-11",37,28
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-12",38,27
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-13",52,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-14",48,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-15",34,25
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-16",39,26
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-17",42,31
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-18",36,24
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-19",42,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-20",48,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-21",32,21
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-22",35,21
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-23",40,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-24",50,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-25",46,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-26",47,39
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-27",60,48
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-28",55,41
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-29",40,39
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-30",53,40
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-03-31",46,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-01",48,36
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-02",43,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-03",41,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-04",38,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-05",50,36
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-06",53,42
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-07",44,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-08",52,36
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-09",47,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-10",47,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-11",40,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-12",48,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-13",45,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-14",46,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-15",54,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-16",67,50
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-17",57,50
