SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
040,02,000,00000,00000,00000,0,A,Alaska,Alaska,710231,710249,714031,722713,731089,736879,736705,737709,741894
162,02,000,00065,00000,00000,0,A,Adak city,Alaska,326,326,325,327,331,332,334,332,329
162,02,000,00650,00000,00000,0,A,Akhiok city,Alaska,71,71,71,72,73,73,72,71,71
162,02,000,00870,00000,00000,0,A,Akiak city,Alaska,346,346,347,354,380,382,384,383,383
162,02,000,01090,00000,00000,0,A,Akutan city,Alaska,1027,1027,1029,1034,1036,1037,1036,1039,1036
162,02,000,01200,00000,00000,0,A,Alakanuk city,Alaska,677,677,678,720,728,739,749,758,750
162,02,000,01420,00000,00000,0,A,Aleknagik city,Alaska,219,219,219,224,224,226,224,224,222
162,02,000,01860,00000,00000,0,A,Allakaket city,Alaska,105,105,105,108,107,106,103,103,106
162,02,000,01970,00000,00000,0,A,Ambler city,Alaska,258,258,259,265,265,265,266,268,264
162,02,000,02080,00000,00000,0,A,Anaktuvuk Pass city,Alaska,324,324,326,328,334,338,337,338,333
162,02,000,03000,00000,00000,0,A,Anchorage municipality,Alaska,291826,291826,293415,296397,298527,301143,300429,298312,298192
162,02,000,03220,00000,00000,0,A,Anderson city,Alaska,246,246,247,258,264,275,264,266,271
162,02,000,03440,00000,00000,0,A,Angoon city,Alaska,459,459,459,453,457,457,447,452,444
162,02,000,03550,00000,00000,0,A,Aniak city,Alaska,501,501,502,513,530,534,536,542,543
162,02,000,03880,00000,00000,0,A,Anvik city,Alaska,85,85,85,87,87,86,84,87,86
162,02,000,04210,00000,00000,0,A,Atka city,Alaska,61,61,61,62,67,70,76,77,74
162,02,000,04500,00000,00000,0,A,Atqasuk city,Alaska,233,233,234,236,241,244,242,240,237
162,02,000,05200,00000,00000,0,A,Barrow city,Alaska,4212,4212,4236,4278,4356,4415,4397,4384,4335
162,02,000,06520,00000,00000,0,A,Bethel city,Alaska,6080,6080,6096,6244,6303,6360,6385,6362,6378
162,02,000,06630,00000,00000,0,A,Bettles city,Alaska,12,12,12,12,12,12,12,12,12
162,02,000,08740,00000,00000,0,A,Brevig Mission city,Alaska,388,388,390,404,405,401,398,398,399
162,02,000,09600,00000,00000,0,A,Buckland city,Alaska,416,416,417,427,427,427,429,432,426
162,02,000,12680,00000,00000,0,A,Chefornak city,Alaska,418,418,419,428,432,453,455,454,454
162,02,000,13230,00000,00000,0,A,Chevak city,Alaska,938,938,939,1004,1015,1031,1044,1060,1049
162,02,000,13550,00000,00000,0,A,Chignik city,Alaska,91,91,91,92,92,92,90,87,87
162,02,000,14330,00000,00000,0,A,Chuathbaluk city,Alaska,118,118,118,121,122,123,123,126,126
162,02,000,15430,00000,00000,0,A,Clark's Point city,Alaska,62,62,62,64,63,64,64,64,63
162,02,000,16360,00000,00000,0,A,Coffman Cove city,Alaska,176,178,179,184,184,184,183,181,180
162,02,000,16530,00000,00000,0,A,Cold Bay city,Alaska,108,108,110,119,121,123,122,124,122
162,02,000,17410,00000,00000,0,A,Cordova city,Alaska,2239,2239,2245,2267,2270,2281,2220,2185,2205
162,02,000,17740,00000,00000,0,A,Craig city,Alaska,1201,1201,1210,1243,1241,1238,1237,1234,1231
162,02,000,18510,00000,00000,0,A,Deering city,Alaska,122,122,122,125,125,125,126,127,126
162,02,000,18620,00000,00000,0,A,Delta Junction city,Alaska,958,958,964,974,979,953,948,927,934
162,02,000,18950,00000,00000,0,A,Dillingham city,Alaska,2329,2329,2333,2381,2379,2392,2383,2390,2364
162,02,000,19060,00000,00000,0,A,Diomede city,Alaska,115,115,115,120,120,119,118,118,118
162,02,000,20380,00000,00000,0,A,Eagle city,Alaska,86,86,87,88,89,87,86,85,85
162,02,000,20970,00000,00000,0,A,Edna Bay city,Alaska,A,42,42,43,43,43,43,43,43
162,02,000,21040,00000,00000,0,A,Eek city,Alaska,296,296,303,309,312,314,322,321,321
162,02,000,21150,00000,00000,0,A,Egegik city,Alaska,109,109,109,110,109,110,109,106,106
162,02,000,21810,00000,00000,0,A,Ekwok city,Alaska,115,115,115,118,118,118,134,134,132
162,02,000,22250,00000,00000,0,A,Elim city,Alaska,330,330,331,343,344,341,339,339,340
162,02,000,22910,00000,00000,0,A,Emmonak city,Alaska,762,762,763,774,783,803,826,813,804
162,02,000,24230,00000,00000,0,A,Fairbanks city,Alaska,31535,31515,31730,30825,32532,32976,32215,32453,32751
162,02,000,24660,00000,00000,0,A,False Pass city,Alaska,35,35,36,39,40,41,43,43,42
162,02,000,26760,00000,00000,0,A,Fort Yukon city,Alaska,583,581,581,593,589,580,565,561,554
162,02,000,27530,00000,00000,0,A,Galena city,Alaska,470,470,470,481,480,474,479,492,488
162,02,000,27640,00000,00000,0,A,Gambell city,Alaska,681,681,684,709,711,704,699,699,701
162,02,000,29180,00000,00000,0,A,Golovin city,Alaska,156,156,157,162,163,161,160,160,160
162,02,000,29290,00000,00000,0,A,Goodnews Bay city,Alaska,243,243,244,249,251,265,267,266,272
162,02,000,30060,00000,00000,0,A,Grayling city,Alaska,194,194,194,199,204,202,197,196,213
162,02,000,30940,00000,00000,0,A,Gustavus city,Alaska,442,442,442,438,442,442,432,437,428
162,02,000,33030,00000,00000,0,A,Holy Cross city,Alaska,178,178,178,182,182,179,175,175,173
162,02,000,33140,00000,00000,0,A,Homer city,Alaska,5003,5020,5048,5158,5253,5303,5403,5510,5631
162,02,000,33360,00000,00000,0,A,Hoonah city,Alaska,760,759,759,750,757,755,740,758,745
162,02,000,33470,00000,00000,0,A,Hooper Bay city,Alaska,1093,1093,1094,1109,1122,1171,1185,1189,1180
162,02,000,33800,00000,00000,0,A,Houston city,Alaska,1912,1910,1930,1986,2036,2072,2129,2205,2290
162,02,000,33910,00000,00000,0,A,Hughes city,Alaska,77,77,77,79,82,81,80,79,88
162,02,000,34350,00000,00000,0,A,Huslia city,Alaska,275,275,275,284,286,282,279,277,275
162,02,000,34460,00000,00000,0,A,Hydaburg city,Alaska,376,375,377,387,387,388,402,400,400
162,02,000,36400,00000,00000,0,A,Juneau city and borough,Alaska,31275,31275,31392,32175,32434,32604,32511,32603,32468
162,02,000,36540,00000,00000,0,A,Kachemak city,Alaska,A,476,477,483,488,489,490,491,492
162,02,000,36770,00000,00000,0,A,Kake city,Alaska,557,557,560,573,572,572,570,566,563
162,02,000,36990,00000,00000,0,A,Kaktovik city,Alaska,239,239,240,242,247,248,246,244,241
162,02,000,37430,00000,00000,0,A,Kaltag city,Alaska,190,190,190,195,194,191,187,186,185
162,02,000,37650,00000,00000,0,A,Kasaan city,Alaska,49,49,49,50,50,51,51,51,50
162,02,000,38420,00000,00000,0,A,Kenai city,Alaska,7100,7112,7135,7238,7342,7458,7553,7640,7745
162,02,000,38970,00000,00000,0,A,Ketchikan city,Alaska,8050,8047,8075,8150,8190,8168,8217,8176,8208
162,02,000,39300,00000,00000,0,A,Kiana city,Alaska,361,361,362,371,370,370,372,376,371
162,02,000,39410,00000,00000,0,A,King Cove city,Alaska,938,938,948,975,987,993,990,997,989
162,02,000,39960,00000,00000,0,A,Kivalina city,Alaska,374,374,375,384,384,383,385,388,383
162,02,000,40400,00000,00000,0,A,Klawock city,Alaska,755,755,761,783,785,796,794,791,796
162,02,000,40840,00000,00000,0,A,Kobuk city,Alaska,151,151,151,155,155,155,156,158,156
162,02,000,40950,00000,00000,0,A,Kodiak city,Alaska,6130,6130,6151,6235,6342,6335,6278,6214,6191
162,02,000,41720,00000,00000,0,A,Kotlik city,Alaska,577,577,577,585,600,609,617,619,620
162,02,000,41830,00000,00000,0,A,Kotzebue city,Alaska,3201,3201,3211,3287,3289,3284,3295,3282,3245
162,02,000,41940,00000,00000,0,A,Koyuk city,Alaska,332,332,334,345,360,357,358,365,369
162,02,000,42050,00000,00000,0,A,Koyukuk city,Alaska,96,96,96,98,98,97,95,94,93
162,02,000,42160,00000,00000,0,A,Kupreanof city,Alaska,27,27,27,27,27,27,27,26,26
162,02,000,42380,00000,00000,0,A,Kwethluk city,Alaska,721,721,723,738,745,751,754,753,753
162,02,000,43040,00000,00000,0,A,Larsen Bay city,Alaska,87,87,87,88,90,90,89,88,87
162,02,000,45460,00000,00000,0,A,Lower Kalskag city,Alaska,282,282,290,296,299,301,309,309,309
162,02,000,46010,00000,00000,0,A,McGrath city,Alaska,346,346,346,354,353,349,341,339,336
162,02,000,46890,00000,00000,0,A,Manokotak city,Alaska,442,442,443,453,453,456,453,453,447
162,02,000,47000,00000,00000,0,A,Marshall city,Alaska,414,414,414,420,425,431,437,438,445
