person,county_num,case_year,dob_year,race,sex,court_action,amountpaid,amountdue,probation,imposed,total,suspended,atty
1,64,2005,1974,B,M,guilty plea,0,2697,0,120,120,96,A-APPOINTED
2,2,2011,1960,W,M,guilty plea,650,65443,0,46,46,46,R-RETAINED
3,34,2005,1979,B,M,guilty plea,759,4071,0,0,60,60,A-APPOINTED
4,47,2011,1979,B,M,guilty plea,50,3109,0,0,24,24,A-APPOINTED
5,42,2006,1977,W,M,guilty plea,0,1150,0,180,180,0,R-RETAINED
6,11,2005,1975,B,M,guilty plea,5,4488,0,180,180,144,A-APPOINTED
7,63,2007,1986,W,F,guilty plea,0,589.7,0,36,36,0,P-PUBLIC
8,63,2006,1977,B,F,guilty plea,432.9,432.9,0,0,13,13,A-APPOINTED
9,47,2008,1984,B,M,guilty plea,3797,3797,0,0,36,36,A-APPOINTED
10,1,2008,1982,B,F,guilty plea,1616,1616,0,0,12,12,A-APPOINTED
11,47,2010,1972,B,M,guilty plea,0,3720,0,12,180,180,A-APPOINTED
12,3,2009,1973,B,M,guilty plea,0,10972,0,360,360,0,A-APPOINTED
13,2,2011,1990,B,M,guilty plea,0,462,0,0,0,0,A-APPOINTED
14,5,2010,1977,W,M,guilty plea,2064,2064,0,3,108,108,C-CONTRACT
15,34,2008,1964,W,M,guilty plea,0,386.1,0,240,240,0,A-APPOINTED
16,3,2010,1963,W,F,guilty plea,40,632.8,36,0,180,180,R-RETAINED
17,50,2009,1986,W,M,guilty plea,1970,5495,0,0,24,24,A-APPOINTED
18,52,2005,1976,B,M,guilty plea,10,1415,0,240,240,0,R-RETAINED
19,31,2008,1985,B,M,guilty plea,970,7106,0,0,120,120,A-APPOINTED
20,1,2009,1979,B,M,guilty plea,500.65,887.37,0,180,180,156,A-APPOINTED
21,1,2006,1985,B,M,guilty plea,120,681.2,0,36,120,84,A-APPOINTED
22,1,2008,1977,B,M,guilty plea,483.6,483.6,0,24,180,156,R-RETAINED
23,63,2008,1991,W,M,guilty plea,0,1617,0,48,180,132,P-PUBLIC
