Date,Favorite,Favorite3,Underdog,Underdog3,PredictedDifference,PredictedPoints,ActualDifference,ActualPoints
1/22,UNLV,0.341,New Mexico,0.36,6,159,16,132
1/22,Kentucky,0.357,Mississippi St,0.372,7,145,21,131
1/22,Akron,0.309,Central Michigan,0.353,6.5,147,3,137
1/22,Buffalo,0.342,Northern Illinois,0.387,8,156,-2,152
1/23,Arkansas,0.337,Missouri,0.392,6,142,12,132
1/24,Illinois-Chicago,0.361,Detroit U,0.372,5.5,151,12,146
1/24,Syracuse,0.314,Miami Florida,0.365,8.5,138,20,126
1/24,Louisville,0.355,NC State,0.381,5.5,156,7,161
1/24,Louisiana,0.342,South Alabama,0.348,9.5,151,4,172
1/24,Sacramento State,0.293,Idaho U,0.368,8,137,21,117
1/24,Colorado,0.337,California,0.353,7,147,9,127
1/25,Buffalo,0.342,Kent State,0.36,9,161,9,167
1/26,IUPUI,0.32,Detroit U,0.374,5.5,148,15,145
1/26,Harvard,0.367,Dartmouth,0.399,9.5,140,5,123
1/26,Dayton,0.332,Fordham,0.342,6.5,133,23,127
1/26,Missouri State,0.322,Bradley,0.343,5.5,134,18,92
1/26,Utah State,0.347,New Mexico,0.36,7,150,2,134
1/26,Montana State,0.359,Idaho State,0.361,5,154,20,188
1/26,Coll Charleston,0.31,William & Mary,0.343,7.5,142,15,133
1/26,Furman,0.362,Samford,0.407,9,148,-2,148
1/26,South Dakota,0.318,Western Illinois,0.354,8,133,-6,124
1/26,NC Greensboro,0.344,Mercer,0.348,9,138,7,169
1/26,LSU,0.343,Missouri,0.392,5,142,6,166
1/26,IPFW,0.352,Denver,0.382,7,156,10,172
1/26,Portland State,0.258,Idaho U,0.368,9,147,16,122
1/27,Loyola Chicago,0.36,Southern Illinois,0.375,5.5,125,25,125
1/28,Texas Tech,0.348,TCU,0.349,5,131,19,149
1/29,Arkansas,0.332,Georgia,0.342,7.5,153,10,130
1/29,Michigan,0.35,Ohio State,0.358,10,128,16,114
1/29,Nevada,0.333,UNLV,0.347,9.5,154,17,157
1/30,Florida,0.352,Mississippi,0.365,5,133,4,176
1/30,NJIT,0.349,Florida Gulf Coast,0.36,5.5,141,12,120
1/30,Minnesota U,0.32,Illinois,0.344,6.5,149,11,161
1/30,CS Fullerton,0.294,CS Northridge,0.376,7.5,156,7,149
1/30,Washington U,0.345,USC,0.368,7,142,13,137
1/31,William & Mary,0.342,Drexel,0.345,5,159,6,144
1/31,Central Florida,0.344,Connecticut,0.358,7,140,6,140
1/31,Hawaii,0.34,Long Beach State,0.348,7.5,147,17,131
1/31,Loyola Marymount,0.316,Pacific,0.346,6,128,18,102
2/1,Buffalo,0.338,Bowling Green,0.372,8,156,-4,180
2/2,Montana,0.363,Montana State,0.365,6,153,5,161
2/2,Jacksonville State,0.309,Austin Peay,0.373,5,146,-3,146
2/2,East Tennessee State,0.357,Tennessee Chattanooga,0.369,9.5,143,13,141
2/2,William & Mary,0.344,Delaware,0.379,5,142,21,147
2/3,Stanford,0.33,California,0.349,6,145,3,165
2/4,Northern Colorado,0.353,Montana State,0.365,8,154,-3,132
2/4,Canisius,0.319,Marist,0.376,5,142,-7,149
2/6,USC,0.374,Utah,0.376,5.5,150,-7,147
2/6,Boise State,0.34,UNLV,0.344,6,147,-11,155
2/6,Cal Santa Barbara,0.357,CS Northridge,0.372,9,150,6,134
2/6,Air Force,0.307,Wyoming,0.344,8,132,5,157
2/6,TCU,0.347,Oklahoma State,0.386,9,142,2,138
2/6,Villanova,0.367,Creighton,0.406,9,152,7,125
2/7,Troy,0.33,Arkansas Little Rock,0.376,5,154,-14,154
2/7,Coll Charleston,0.321,Delaware,0.368,5,134,8,158
2/7,Drexel,0.351,NC Wilmington,0.362,5,164,12,126
2/7,Wright State,0.345,Oakland,0.388,7,146,14,138
