DOB,President,Party,Town,State,Full.Address,Latitude,Longitude
"February 22, 1732",George Washington,Unaffiliated,Westmoreland County,Virginia,Westmoreland County Virginia ,38.112732,-76.7798172
"October 30, 1735",John Adams,Federalist,Braintree,Massachusetts,Braintree Massachusetts ,42.2079017,-71.0040013
"April 13, 1743",Thomas Jefferson,Democratic Republican,Shadwell,Virginia,Shadwell Virginia ,38.0129175,-78.3955647
"March 16, 1751",James Madison,Democratic Republican,Port Conway,Virginia,Port Conway Virginia ,38.1773528,-77.1860884
"April 28, 1758",James Monroe,Democratic Republican,Monroe Hall,Virginia,Monroe Hall Virginia ,38.236877,-76.994049
"March 15, 1767",Andrew Jackson,Democratic,Waxhaws Region,South/North Carolina,Waxhaws Region South/North Carolina ,34.9245935,-80.7434019
"July 11, 1767",John Quincy Adams,Democratic Republican,Braintree,Massachusetts,Braintree Massachusetts ,42.2079017,-71.0040013
"February 9, 1773",William Henry Harrison,Whig,Charles City County,Virginia,Charles City County Virginia ,37.4018216,-77.1485163
"December 5, 1782",Martin Van Buren,Democratic,Kinderhook,New York,Kinderhook New York ,42.3953617,-73.6978983
"November 24, 1784",Zachary Taylor,Whig,Barboursville,Virginia,Barboursville Virginia ,38.1709675,-78.2816723
"March 29, 1790",John Tyler,Whig,Charles City County,Virginia,Charles City County Virginia ,37.4018216,-77.1485163
"April 23, 1791",James Buchanan,Democratic,Cove Gap,Pennsylvania,Cove Gap Pennsylvania ,39.8659242,-77.9424995
"November 2, 1795",James K. Polk,Democratic,Pineville,North Carolina,Pineville North Carolina ,35.0832014,-80.8922957
"January 7, 1800",Millard Fillmore,Whig,Summerhill,New York,Summerhill New York ,42.6389592,-76.3257664
"November 23, 1804",Franklin Pierce,Democratic,Hillsborough,New Hampshire,Hillsborough New Hampshire ,43.114728,-71.895049
"December 29, 1808",Andrew Johnson,Democratic,Raleigh,North Carolina,Raleigh North Carolina ,35.7795897,-78.6381787
"February 12, 1809",Abraham Lincoln,Republican,Sinking Spring,Kentucky,Sinking Spring Kentucky ,37.5320335,-85.733899
"April 27, 1822",Ulysses S. Grant,Republican,Point Pleasant,Ohio,Point Pleasant Ohio ,38.8945107,-84.2338243
"October 4, 1822",Rutherford B. Hayes,Republican,Delaware,Ohio,Delaware Ohio ,40.2986724,-83.067965
"October 5, 1829",Chester A. Arthur,Republican,Fairfield,Vermont,Fairfield Vermont ,44.8019921,-72.9456935
"November 19, 1831",James A. Garfield,Republican,Moreland Hills,Ohio,Moreland Hills Ohio ,41.4478312,-81.4276153
"August 20, 1833",Benjamin Harrison,Republican,North Bend,Ohio,North Bend Ohio ,39.1525576,-84.7480038
"March 18, 1837",Grover Cleveland,Democratic,Caldwell,New Jersey,Caldwell New Jersey ,40.8398218,-74.2765366
"January 29, 1843",William McKinley,Republican,Niles,Ohio,Niles Ohio ,41.1828353,-80.765358
"December 28, 1856",Woodrow Wilson,Democratic,Staunton,Virginia,Staunton Virginia ,38.149576,-79.0716958
"September 15, 1857",William H. Taft,Republican,Cincinnati,Ohio,Cincinnati Ohio ,39.1031182,-84.5120196
"October 27, 1858",Theodore Roosevelt,Republican,New York City,New York,New York City New York ,40.7127753,-74.0059728
"November 2, 1865",Warren G. Harding,Republican,Blooming Grove,Ohio,Blooming Grove Ohio ,40.7078356,-82.7165661
"July 4, 1872",Calvin Coolidge,Republican,Plymouth,Vermont,Plymouth Vermont ,43.5354332,-72.7219581
"August 10, 1874",Herbert Hoover,Republican,West Branch,Iowa,West Branch Iowa ,41.6714086,-91.3465521
"January 30, 1882",Franklin D. Roosevelt,Democratic,Hyde Park,New York,Hyde Park New York ,41.7667602,-73.9015246
"May 8, 1884",Harry S. Truman,Democratic,Lamar,Missouri,Lamar Missouri ,37.4950478,-94.2766148
"October 14, 1890",Dwight D. Eisenhower,Republican,Denison,Texas,Denison Texas ,33.7556593,-96.536658
27-Aug-08,Lyndon B. Johnson,Democratic,Stonewall,Texas,Stonewall Texas ,30.2360359,-98.6644769
6-Feb-11,Ronald Reagan,Republican,Tampico,Illinois,Tampico Illinois ,41.63031,-89.7862177
9-Jan-13,Richard Nixon,Republican,Yorba Linda,California,Yorba Linda California ,33.8885035,-117.8132571
14-Jul-13,Gerald Ford,Republican,Omaha,Nebraska,Omaha Nebraska ,41.2565369,-95.9345034
29-May-17,John F. Kennedy,Democratic,Brookline,Massachusetts,Brookline Massachusetts ,42.3317642,-71.1211635
12-Jun-24,George H. W. Bush,Republican,Milton,Massachusetts,Milton Massachusetts ,42.2495321,-71.0661653
1-Oct-24,Jimmy Carter,Democratic,Plains,Georgia,Plains Georgia ,32.0340508,-84.3926912
14-Jun-46,Donald Trump,Republican,Queens,New York,Queens New York ,40.7282239,-73.7948516
6-Jul-46,George W. Bush,Republican,New Haven,Connecticut,New Haven Connecticut ,41.308274,-72.9278835
19-Aug-46,Bill Clinton,Democratic,Hope,Arkansas,Hope Arkansas ,33.6670615,-93.5915665
4-Aug-61,Barack Obama,Democratic,Honolulu,Hawaii,Honolulu Hawaii ,21.3069444,-157.8583333
