Nature,Case #,Date Reported,Date Time Occurred,General Location
Criminal Trespass,16-0252,2/23/16,02/23/16 1600,Delta Sigma Phi
Theft 2,16-0251,2/23/16,02/23/16 0800 - 1000,Student Rec Center
"Courtesy Report (Fraudulent Use Credit 
Card)",16-0255,2/24/16,02/05/16 0000 - 02/24/16 0000,Off Campus
"Courtesy Report (Fraudulent Use Credit 
Card)",16-0255,2/24/16,02/05/16 0000 - 02/24/16 0000,Off Campus
Criminal Trespass,16-0254,2/24/16,02/14/16 0653,Thompson University Center
Misrepresentation of Age/Purchase Alcohol,16-0257,2/24/16,02/24/16 1518,Matt Knight Arena
"Courtesy Report (Hit & Run - Property 
Damage)",16-0259,2/25/16,02/24/16 2000 - 02/25/16 0845,Off Campus
"Attm Robbery 3, Assault 4",16-0262,2/26/16,02/25/16 2345,1600 blk E 15th
Criminal Trespass,16-0265,2/26/16,02/26/16 1310,Delta Sigma Phi
Hit & Run - Property Damage,16-0264,2/26/16,02/25/16 0815 - 1615,Lot 16
Theft 1 - Laptop,16-0267,2/26/16,02/26/16 1800 - 2100,Frohnmayer Music Bldg
Theft 2 - Laptop,16-0266,2/26/16,02/26/16 2200 - 2230,Turf Fields
Warrant Arrest,16-0263,2/26/16,02/26/16 0345,Recycling Modular
Criminal Mischief 2 - Graffiti,16-0272,2/27/16,02/26/16 1600 - 02/17/16 1651,Earl Hall
Drug Law Violation,16-0268,2/27/16,02/27/16 0002,Earl Hall
Drug Law Violation,16-0268,2/27/16,02/27/16 0002,Earl Hall
Drug Law Violation,16-0268,2/27/16,02/27/16 0002,Earl Hall
Drug Law Violation,16-0269,2/27/16,02/27/16 0128,Walton Complex
Assist Outside Agency (Assault),16-0274,2/28/16,02/18/16 0206,Off Campus
Courtesy Report (Assault),16-0278,2/28/16,02/28/16 1200,Off Campus
Criminal Mischief 2 - Graffiti,16-0273,2/28/16,02/27/16 0100 - 02/28/16 0138,UO Riverfront
"Possess Meth, Criminal Trespass, Possess 
Burglary Tool",16-0275,2/28/16,02/28/16 0803,Off Campus
DUII,16-0280,2/29/16,02/29/16 0210,Off Campus
Theft 2 - Bike Parts,16-0283,2/29/16,02/29/16 1500 - 1900,Hedco
Courtesy Report (Theft),16-0287,3/1/16,02/26/16 2300 - 02/27/16 0100,Off Campus
Drug Law Violation,16-0286,3/1/16,03/01/16 1428,Walton Complex
Drug Law Violation,16-0288,3/1/16,03/01/16 2205,Earl Hall
Criminal Trespass,16-0289,3/2/16,03/02/16 1120,Oregon Hall
"Forgery-1, Identity Theft",16-0293,3/3/16,02/24/16 1200,Off Campus
"Warrant Arrest, Disorderly Conduct",16-0296,3/3/16,03/03/16 1420,1715 Franklin Blvd
Assist Outside Agency (Arrest),16-0299,3/4/16,03/04/16 1804,Off Campus
"Forgery-1, Negotiating Bad Check",16-0297,3/4/16,02/24/16 1634,Off Campus
"Public Indecency, Criminal Trespass",16-0300,3/4/16,03/04/16 1810,Off Campus
Theft 2 - Bike Parts,16-0298,3/4/16,03/02/16 1230 - 03/04/16 1449,Carson Hall
Bicycle Theft 2,16-0306,3/5/16,02/22/16 1800 - 02/25/16 1500,Bean Complex
Drug Law Violation,16-0303,3/5/16,03/05/16 0101,Bean Complex
Drug Law Violation,16-0307,3/5/16,03/05/16 2211,LLCN
Drug Law Violation,16-0307,3/5/16,03/05/16 2211,LLCN
DUII,16-0304,3/5/16,03/05/16 0234,E 13th & Franklin
Warrant Arrest,16-0305,3/5/16,03/05/16 0830,Off Campus
Disorderly Conduct,16-0310,3/6/16,03/06/16 1715,Allen Hall
DUII,16-0309,3/6/16,03/06/16 0301,Off Campus
Fondling,N/A,3/6/16,2/3/16,On Campus
Fondling,N/A,3/6/16,11/1/15,Campus Property
Fondling,N/A,3/6/16,2/13/16,On Campus
Harassment,16-0308,3/6/16,03/06/15 0130,Barnhart
Sexual Assault,N/A,3/6/16,report pending,On Campus
Attm Forgery-1,16-0313,3/7/16,02/22/16 1223 - 03/06/16 1200,Spencer View Apts
Theft 2,16-0312,3/7/16,03/07/16 1000,E 13th & Kincaid
Attm Fraudulent Use Credit Card,16-0320,3/8/16,03/08/16 1000 - 1100,Off Campus
Criminal Mischief 2 - Graffiti,16-0321,3/8/16,03/08/16 1000 - 1400,Klamath Hall
Reckless Burn,16-0317,3/8/16,02/23/16 1300 - 03/08/16 1323,Walton Complex
Reckless Burn,16-0319,3/8/16,03/07/16 1700 - 03/08/16 1338,Earl Hall
"Warrant Arrest, Possess Heroin",16-0315,3/8/16,03/08/16 0026,Thompson University Center
Attm Fraudulent Use Credit Card,16-0326,3/9/16,02/25/16 1100 - 03/08/16 0000,Off Campus
Bicycle Theft 2,16-0325,3/9/16,03/08/16 2000 - 03/09/16 1012,Barnhart
Burglary-2,16-0324,3/9/16,03/08/16 1616 - 03/09/16 0710,Spencer View Apts
Courtesy Report (Rape),16-0327,3/9/16,2/6/16,Off Campus
Criminal Trespass,16-0323,3/9/16,03/09/16 0459,Barnhart
Drug Law Violation,16-0331,3/9/16,03/09/16 2326,Barnhart
Theft 2 - Bike Parts,16-0333,3/10/16,03/02/16 0900 - 03/04/16 0000,Klamath Hall
Bicycle Theft 2,16-0336,3/11/16,03/07/16 1800 - 03/08/16 1000,Columbia Hall
DUII,16-0334,3/11/16,03/11/16 0218,Off Campus
"Mail Theft, Forgery-2",16-0338,3/11/16,02/29/16 0000 - 03/08/16 0000,Off Campus
"Rape, Provide Liquor to Minor",16-0340,3/11/16,3/11/16,On Campus
Minor in Possession Alcohol,16-0341,3/12/16,03/12/16 0020,Agate St. Crosswalk
Assist Outside Agency (Assault),16-0346,3/13/16,03/13/16 0143,Off Campus
Bicycle Theft 2,16-0347,3/13/16,03/08/16 2200 - 03/09/16 0940,Barnhart
Theft 2,16-0348,3/13/16,03/13/16 0700 - 1230,Jane Sanders Stadium
Criminal Possession of a Forged Instrument,16-0353,3/14/16,03/14/26 2117,LLCS
Minor in Possession Alcohol,16-0350,3/14/16,03/14/16 0930,LLCS
Theft 2,16-0352,3/14/16,03/14/16 0909 - 0920,Off Campus
Theft 3,16-0351,3/14/16,03/14/16 0630 - 0930,Hamilton Complex
Theft 3,16-0352,3/14/16,03/14/16 0909 - 0920,Off Campus
Failure to Report as Sex Offender,16-0360,3/16/16,03/16/16 2353,E 8th & Hilyard
Open Container,16-0359,3/16/16,03/16/16 1900,1300 blk Kincaid
Theft 2,16-0357,3/16/16,03/16/16 0500 - 0505,Knight Law School
Bicycle Theft 1,16-0363,3/17/16,03/16/16 1730 - 03/17/16 1300,Hamilton Complex
Disorderly Conduct,16-0364,3/17/16,03/17/16 1326,Oregon Hall
DUII,16-0361,3/17/16,03/17/16 0000,E 13th & Agate
Drug Law Violation,16-0365,3/18/16,03/18/16 0007,Hamilton Complex
"Assault 3, Criminal Mischief 1",16-0366,3/19/16,03/19/16 0113,Off Campus
"DUII, Possess Marijuana, Minor in 
Possession Alcohol",16-0368,3/20/16,03/20/16 1800,E 13th & Agate
Bicycle Theft 1,16-0370,3/21/16,03/21/16 0954 - 1410,Student Rec Center
Drug Law Violation,N/A,3/21/16,2/2/16 12:03,Barnhart Exterior
Drug Law Violation,N/A,3/21/16,2/2/16 12:04,Barnhart Exterior
Drug Law Violation,N/A,3/21/16,2/2/16 12:06,Barnhart Exterior
Drug Law Violation,N/A,3/21/16,2/23/16 8:55,McClure
Drug Law Violation,N/A,3/21/16,2/23/16 9:58,BARNHART 6 NORTH
Drug Law Violation,N/A,3/21/16,2/4/16 12:52,DeBusk
Drug Law Violation,N/A,3/21/16,2/4/16 14:42,DeBusk
Drug Law Violation,N/A,3/21/16,2/4/16 14:45,DeBusk
Drug Law Violation,N/A,3/21/16,2/4/16 14:47,DeBusk
Drug Law Violation,N/A,3/21/16,2/9/16 9:56,Willcox
Drug Law Violation,N/A,3/21/16,2/9/16 10:09,Willcox
