"HOVER HERE FOR NOTE:
V160001",V161069 - PRE:  What is it that R likes about Democratic Pres cand
300001,
300002,
300003,
300004,
300006,
300007,
300008,
300012,
300018,
300020,
300021,
300023,Very smart and educated.  She has always been in political arenas.  I just think she is well qualified.//
300026,Shes not Donald Trump//democrative party traditionally has beenmore open programs (economic distribution)//
300030,
300034,Her policies. Her experience and she is NOT Donald Trump.//
300038,Democrat
300039,"She has experience, she is rational...the alternative is not//I think she'd be a good president//I mean.. I have a [REDACTED FAMILY DETAILS] so I think having a woman president would be a positive role model"
300040,
300041,stance on social issues/her experience/shre is policy driven has a good understanding of foriegn policy
300042,
300045,
300046,
300047,Her family values.''
300049,
300050,
300051,
300053,he seems like she is more carying and better listener than the other candidate//
300056,
300058,"Experience// Her efforts during her career as First Lady, Secretary of State and Senator//"
300059,
300062,She is experienced/
300064,
300070,
300072,
300073,
300082,good experience//not particualy
300085,
300092,
300093,I would love to see a woman office. I'd like to see what she can do. Opportunities for other people.//
300094,"She seems to care a little more than Donald Trumpp, she has more experience//"
300098,
300099,
300100,she has knowledge\\she has knowledge about the county and about politics
300103,
300106,
300107,"life spent in public service, great deal of political experience, knowldge of foreign politics, emphasis on children and families, tireless,"
300109,"she is a woman, and mother she may do things from a mothers perspective, she helps the young and cares about the children//"
300111,
300113,her husband//
300116,"UNDERSTANDING, WILING TO TALK ABOUT THINGS THAT THE LOWER CLASS NEEDS TRYING TO PICK BEST ONE THAT IS SUITABLE//"
300119,
300121,"The years of experience, her knowledge, she is the best option for me right now compared to what we have perfect by no means"
300123,
300124,Her experience.
300131,"She seems to have have the most political experience, she seems to have a understanding of policies, security and international issues,//She seems to have abetter understanding and diversity of peoples needs compared to Donald Trump"
300135,"I think he is much more supportive on women's rights, which is important to me.  I think she is very much more experienced which she has received throughout her lifetime.//"
300136,
300137,Pienso que ella esta con nosotros ayudadndo a los hispanos//Yo creo que ella va a yudar a los hispanos y la clase media//
300140,"Her experience and representing our country and making difficult decisions.  Her ability to reach across all lines, race, economic, social.  Her work ethic. And her incredible story of becoming who she is now from where she came.//"
300142,
300143,She put in Supreme court justices that wil be more in line to your thinking.//
300144,she knows more about the government and how it is run because she has been involved a long time becaus her husband used to be president
300146,I think she is about education I think thatis always a positive//no
300148,
300150,
300151,"i have to admit the first thing is we need a woman in the presidency\\ i think that she has been very residelent as a washington dc inner circle person,  i think she has handled the mud slinging like a ladyo and still held her ground\\"
300152,her experience her passion and her dedication for the last 30 years
300153,
300154,amkoing America feel like a team and not seperating us//
300155,She is not Donald Trump//She has got a lot of experience.
300161,"HER EXPERIENCE//WELL, ONE IS THE EXPERIENCE AS A FIRST LADY//THE OTHER ONE IS THAT SHE HAS THE SUPPORT OF HER HUSBAND THAT HAS ALREADY BEEN PRESIDENT //"
300165,She is the most qualified.  She has a platform.
300168,not one thing particular//I think she is better everything bettr communicator//even tempered good communicator and she knows politics//
300169,her experience//
300170,"she seems more capable, more experienced with politics//"
300171,AHAA ABOUT JOB SECURITY AND EQUALITY//
300172,
300175,"she is not donld trump , she is a woman, she is at lest to pretend to cre// no alternative// she sided with bernie on the college her abilitly to reconcile differences i rcan respect tht whether she does it or not"
300176,
300177,"she has a back up with her husband, h was a president at one time\\shes a first lady\\she has a lot of class about her\\good personality\\just a sharp lady and smart"
300179,
300180,"being a female, experience in politics and husband"
300181,she's a democrat that's what i am she is getting iffy you gotta watch the media the media try to twist you up//i just hope donald trump doesnt get in their because he so outlandish with the things he does im like the commericial i wouldn't want him to have the code to the missles he is not for people he has his own agenda i imagine the agenda would be for the rich
300182,I vote for her because she is very smart. The first thing that i know that she does is for the women and education and for mothers. I think she will be a good President.//
300184,She knows how Washington works.//As a Secretary Of State has esperience ion how to navigate the political system in Washington.//
300185,she's female
300186,"her political experience,\\"
300187,
300188,
