V160001_orig,V161075 - PRE: What is it that R likes about Republican Pres cand
300001,truth//his caring for the country
300002,pro 2nd amendement//
300003,
300004,he says what he thinks//I believe he will do what he says//he is running against Hilary//
300006,
300007,I would not vote for Hiliary it would take a generation to undone what she will do.  I like the fact that he is not a politician dont trust any of them//
300008,
300012,"There are many things. Mainly I am aligned with him on all the positions of the issues. Meaning borders, closing the borders, building the walls, legal immigration nit illegal. lower taxes, helptong the vets, building s stromng military, fair trade, and for years now I have been saying we have to stop countries from leaving the country. it's going to kill us, not literally. The economy. At least make it fair.//I like that he is not a typical politician. We have enough of those. Let's try something different.//He has a proven track record in busibess and success."
300018,"I like that he is a straight shooter.  He tells it like it is and he's not a politician//I believe in a lot of his ideals, as well.  Of course there's a lot that I don't believe in//I really don't like the other side so he's the lesser of two evils//"
300020,
300021,
300023,
300026,because he's not hillary clinton//traditionally speaki Republicans are ore fisscally conservative//
300030,"He's not politically correct// He says what he thinks be it right or wrong sometimes//He's trying to run the plotical establishement out of Dc, which we need//"
300034,
300038,
300039,
300040,"His forthrightness, his ability to tell what really should be going on which people don't like/Probably another added thing for him and it is important is that he has a veyr good business head, which people don't like"
300041,
300042,
300045,// likes his out looks
300046,Like his ideas and principles/a strong business and how to run things/immigration/foreign and military/
300047,
300049,change in the government due to the past there needs to be changes
300050,secuing the borders and not letting refugees come. i think he will get jobs back from overseas. he's not a politician//
300051,I believe we should have someone else in office that is a working man who stands up for the working person in the country. He wants to try to better the economy and bring some work back to us.//
300053,he is advocating chang which is needed in many areas//
300056,
300058,
300059,that he is not a politician//
300062,His lack of experience is positive in the situation and does not play the political game/
300064,"he would be the best for the economy,"
300070,his leadership and he is not a politician//
300072,"the wall, controll immigration, 62 percent of immigrants receive goverment aid//honest and successful//"
300073,
300082,
300085,"I believe his immagration, it makes sense//the you know needing to check people who are coming into this country. They need to be checked out relly well//and also the gun control// they need to really check that out, you know, investigate it//They really need to thouroughly check and find out about how they feel about the United states of America// wondering why people go back and forth with all the terrorism now//He made some good points//"
300092,he is a bussiness man aour country is ina bad way and he has business sense to pull us out of our national debt
300093,He seems sincere about cleaning up our country. All this immigration. I just want to see my country come back to what it was. 80% of the immigrants ownung the stores. it's not working for me.//
300094,
300098,bussimness man built mil tary up take care of vet medical ins/
300099,"he is no a felon, //"
300100,
300103,leader not part odf political process he will make america great again
300106,succeed or fail he is a business tycoon he knows how to get things done he sys excctly what he means
300107,
300109,
300111,I think he has got good business sense.//
300113,
300116,
300119,asshole
300121,That I want to vote for him because he wants to put a holt on letting imigrates in until they are fulley veted
300123,he has a good business aspect//
300124,His tax plan. His immigration plan. His foreign policy plan. and his non-establishment stance.
300131,
300135,"I think he supports law enforcement more and with [REDACTED DETAILS], that is important to me.//"
300136,
300137,
300140,
300142,business man might be able to pull this country back together again//
300143,
300144,
300146,"tax policy for those who make under 20,000 is pretty awesome//dont know too much about the candidates"
300148,It's really hard this year. I guess if anything it's because he's a republican and voting for your party/
300150,hes a bad person and just do not see him as being presidential
300151,
300152,
300153,straight forward//blunt//
300154,
300155,
300161,
300165,
300168,
300169,
300170,
300171,
300172,"he is a regular person, there are so many things that i do not like about hilary clinton and that has pushed me more towards him//"
300175,
300176,
300177,
300179,FACT THAT HE IS INTERESTEDINPROVE THE LIFE OF AMERICANPEOPLE OVER OA ONE WORLD ENCOMEY
300180,"power, knows politics"
300181,
300182,
300184,
300185,
300186,he is not a careeer politician\\
300187,foreign policy outlook// appears to be less interested in engaging in hostilities in particular russia;;// i lkie his views on Nato has to redefine it self and reorient it self// thats really the primary positive outlook that i have about his candacy his foreign policy positions.
300188,Hes a very good business man and I think he would make a good president and certainly knows hoe to make a lot of money.//I think he woould make good trade deals and hes going to build a wall supposedly.//She would make a great first lady. milania//
300195,I like his economic background and understanding//
300196,not a politician i think politicians have been up there too long//businessman and i was a business man for [REDACTED TIME DETAILS] ithink time for a business input
300198,
300200,
300204,
300207,i like his tax reform idean and he's also pro life and says he's against gay marriage. he's says he wants to enforce legal immigration but I think we need to pay more attention because their are so many people here that deserves to be here and are unable to because it's screwed up. The people who derserve to be here are not allowed to come becuase there are so many people here illegally//
300209,I think he probably would be good for business and manufacturing.//He probably would be better for the violence in the country.//
300210,"I believe he would make America great again.  He is for the Americans, not just for money.//"
300212,"he has good ideas sometimes. his problem is that he is aggressive, that to me takes away points,"
300215,
300217,he is not hilliary clinton\\
300222,
300224,
300227,he wants to fix but does not say says things need to be fixed
300228,
300230,business man good businessman
300232,"He knows alot of stuff.  He knows stuff//I think he knows alot about politics, yup, uh huh//he's outspoken - that's for sure"
300234,
300235,
300237,he is a rogue//
300238,
300240,I think in some ways he'll help financially with the country/He's ruthless so I'll give him that/
300242,He is a business man he knows how to run a business I fell like he will surround himself with the most qualified elective to run the country he is a business & in my opinion that's what bjusiness men do
300244,I think he is honest./
300245,
300246,
300248,"HE'S BETTER THAN HER, I THINK HE'S CGOING TO MAKE MAJOR CHANGES IN THIS COUNTY, IMMIGRATION, ISIS, TERRORISM, NOT AFRAID TO SAY ISIS OR TERRORISM//"
300250,"HE CAN'T BE BOUGHT SO FAR, I LIKE THE WAY HE RUNS HIS BUSINESS AND CAME OUT OF ANY DILEMAS WITHOUT ANYONES HELP//"
300252,
300254,
300255,"Because of the health care benefits, bringing more jobs.//"
300256,"blatantly honest, going to protect us has the countries best interest at heart, is sincere"
300259,rookie/haven't caught him in as many lies yet/if we were to go to war I would want him to be my husband's boss
300261,"He'll just tell you straightforward, I mean. He's got some good ideas. //"
300264,I think hes thinking of our country but I think he puts his mannerisms before the American people. I think we need a change//Difficult to say becausde they have both made so many blunders in their presentation to the public.
300267,He is a business owner. //
300269,I know that he could really build the strong connections with other countries because of his business skills.\\
300270,
300273,HE'S NOT HILLARY CLINTON//
300276,THAT HES NOT AN ACTUAL POLITICIAN. //
300278,"I just say that he feels very strong about this country. And, all the things he talks about would pretty much benefit my family.//No"
300279,
300280,
300282,
300284,I think he will straighten this country out I think he will make a good president I'm for him 100%//
300289,
300297,
300299,
300303,"He is pretty strict about the policies he want to enforce, that is a positive.//"
300304,love the fact that the supreme court I like who he will choose for the supreme court
300307,smart business man or else he wouldn't be where is//lesser or 2 evils//
300312,
300313,I like some of his issues of making America Great Again - if he can do it.//
300317,
300322,THE HOPE IS THAT HE CAN CHANGE THINGS//
300325,Lack o
300326,
300327,Trying to protect our second amendment.
300333,"because I dont like Hillary, hes gonna try to straighten things out, more believable//"
300334,"did not like the negative things that went on with the emails, its scary when you think that you may be opening the country up to negative stuff when she was secretary//"
300335,He is supportive of white people//
300336,
300339,
300342,
300343,
300344,
300345,"I believe hes a good business man I believe hes a good negotiator, //and I believe he has the bast interests of our country at heart//and he's not part of the establishment//"
300352,his business ability\\ just his business savy and help keep the economy better
300360,The fact that he doesn't owe anyone momey and he doesn't owe any middle easterns money. //
300361,Does not hav washington politics behind him new perspecrive//
300363,"I think he's gonna shape things up and he's not beholden to anyone yet, special interests, I think he has a chance to actually do something, I think with his building experience he will be able to get things done//"
300364,
300371,
300375,hope he brings all the work back in thre US//
300376,hes not an esatblishment candidate// only reason in a million years id consider voting for him//he walks to his beat//he doesnnt answer people//
300377,
300383,
300386,"I kind of like his stance on not bringing in refugees and things when we have so much going on here that needs attention. I know it's kind of barbaric, but I like that. // He's failed at business several times, that makes me a little concerned. // I like how he's very up front abou tthings. I think politicians tend to lie and he just tends to throw it right out there. //"
300387,HES AN OUTSIDER\\HES NOT A POLITICIAN
300389,
